"Group","Sex","Temperature","Humidity","Comments","Date","Fungal_Growth"
"NMC","m",25,60,"",2023-09-05,NA
"NMC","m",25,60,"",2023-09-06,NA
"NMC","m",25,60,"",2023-09-07,NA
"NMC","m",25,60,"",2023-09-08,NA
"NMC","m",25,60,"",2023-09-09,NA
"NMC","m",25,60,"",2023-09-10,NA
"NMC","m",25,60,"",2023-09-11,NA
"NMC","m",25,60,"",2023-09-12,NA
"NMC","m",25,60,"",2023-09-13,NA
"NMC","m",25,60,"",2023-09-14,NA
"NMC","m",25,60,"",2023-09-15,NA
"NMC","m",25,60,"",2023-09-16,NA
"NMC","m",25,60,"",2023-09-17,NA
"NMC","m",25,60,"",2023-09-18,NA
"NMC","m",25,60,"",2023-09-19,NA
"NMC","m",25,60,"",2023-09-20,NA
"NMC","m",25,60,"",2023-09-21,NA
"NMC","m",25,60,"",2023-09-22,NA
"NMC","m",25,60,"",2023-09-23,NA
"NMC","m",25,60,"",2023-09-24,NA
"NMC","m",25,60,"",2023-09-25,NA
"NMC","m",25,60,"",2023-09-26,NA
"NMC","m",25,60,"",2023-09-27,NA
"NMC","m",25,60,"",2023-09-28,NA
"NMC","m",25,60,"",2023-09-29,NA
"NMC","m",25,60,"",2023-09-30,NA
"NMC","m",25,60,"",2023-10-01,NA
"NMC","m",25,60,"",2023-10-02,NA
"NMC","m",25,60,"",2023-10-03,NA
"NMC","m",25,60,"",2023-10-04,NA
"NMC","m",25,60,"",2023-10-05,NA
"NMC","m",25,60,"",2023-10-06,NA
"NMC","m",25,60,"",2023-10-07,NA
"NMC","m",25,60,"",2023-10-08,NA
"NMC","m",25,60,"",2023-10-09,NA
"NMC","m",25,60,"",2023-10-10,NA
"NMC","m",25,60,"",2023-10-11,NA
"NMC","m",25,60,"",2023-10-12,NA
"NMC","m",25,60,"",2023-10-13,NA
"NMC","m",25,60,"",2023-10-14,NA
"NMC","m",25,60,"",2023-10-15,NA
"NMC","m",25,60,"",2023-10-16,NA
"NMC","m",25,60,"",2023-10-17,NA
"NMC","m",25,60,"",2023-10-18,NA
"NMC","m",25,60,"",2023-10-19,NA
"NMC","m",25,60,"",2023-10-20,NA
"NMC","m",25,60,"",2023-10-21,NA
"NMC","m",25,60,"",2023-10-22,NA
"NMC","m",25,60,"",2023-10-23,NA
"NMC","m",25,60,"",2023-10-24,NA
"NMC","m",25,60,"",2023-10-25,NA
"NMC","m",25,60,"",2023-10-26,NA
"NMC","m",25,60,"",2023-10-27,NA
"NMC","m",25,60,"",2023-10-28,NA
"NMC","m",25,60,"",2023-10-29,NA
"NMC","m",25,60,"",2023-10-30,NA
"NMC","m",25,60,"",2023-10-31,NA
"NMC","m",25,60,"",2023-11-01,NA
"NMC","m",25,60,"",2023-11-02,NA
"NMC","m",25,60,"",2023-11-03,NA
"NMC","m",25,60,"",2023-11-04,NA
"NMC","m",25,60,"",2023-11-05,NA
"NMC","m",25,60,"",2023-11-06,NA
"NMC","m",25,60,"",2023-11-07,NA
"NMC","m",25,60,"",2023-11-08,NA
"NMC","m",25,60,"",2023-11-09,NA
"NMC","m",25,60,"",2023-11-10,NA
"NMC","m",25,60,"",2023-11-11,NA
"NMC","m",25,60,"",2023-11-12,NA
"NMC","m",25,60,"",2023-11-13,NA
"NMC","m",25,60,"",2023-11-14,NA
"NMC","m",25,60,"",2023-11-15,NA
"NMC","m",25,60,"",2023-11-16,NA
"NMC","m",25,60,"",2023-11-17,NA
"NMC","m",25,60,"",2023-11-18,NA
"NMC","m",25,60,"",2023-11-19,NA
"NMC","m",25,60,"",2023-11-20,NA
"NMC","m",25,60,"",2023-11-21,NA
"NMC","m",25,60,"",2023-11-22,NA
"NMC","m",25,60,"",2023-11-23,NA
"NMC","m",25,60,"",2023-11-24,NA
"NMC","m",25,60,"",2023-11-25,NA
"NMC","m",25,60,"",2023-11-26,NA
"NMC","m",25,60,"",2023-04-20,0
"NMC","m",25,60,"",2023-04-21,0
"NMC","m",25,60,"",2023-04-22,0
"NMC","m",25,60,"",2023-04-23,0
"NMC","m",25,60,"",2023-04-24,0
"NMC","m",25,60,"",2023-04-25,0
"NMC","m",25,60,"",2023-04-26,0
"NMC","m",25,60,"",2023-04-27,0
"NMC","m",25,60,"",2023-04-28,0
"NMC","m",25,60,"",2023-04-29,0
"NMC","m",25,60,"",2023-04-30,2
"NMC","m",25,60,"",2023-05-01,3
"NMC","m",25,60,"",2023-05-02,4
"NMC","m",25,60,"",2023-05-03,10
"NMC","m",25,60,"",2023-05-04,11
"NMC","m",25,60,"",2023-05-05,NA
"NMC","m",25,60,"",2023-05-06,NA
"NMC","m",25,60,"",2023-05-07,NA
"NMC","m",25,60,"",2023-05-08,44
"NMC","m",25,60,"",2023-05-09,NA
"NMC","m",25,60,"",2023-05-10,NA
"NMC","m",25,60,"",2023-05-11,NA
"NMC","m",25,60,"",2023-05-12,44
"NMC","m",25,60,"",2023-05-13,NA
"NMC","m",25,60,"",2023-05-14,NA
"NMC","m",25,60,"",2023-05-15,NA
"NMC","m",25,60,"",2023-05-16,53
"NMC","m",25,60,"",2023-05-17,NA
