"observed_on","url","latitude","longitude","scientific_name","Year","Month"
2021-07-31,"https://www.inaturalist.org/observations/89907586",45.5945674733,-75.0927331674,"New_observation_inat","2021","July"
2021-08-01,"https://www.inaturalist.org/observations/89486011",45.4271278381,-73.1621627808,"New_observation_inat","2021","August"
2021-08-04,"https://www.inaturalist.org/observations/89980510",45.3358277708,-72.9136771336,"New_observation_inat","2021","August"
2021-08-06,"https://www.inaturalist.org/observations/261189900",46.7844141171,-71.2701426029,"New_observation_inat","2021","August"
2021-08-08,"https://www.inaturalist.org/observations/91844378",45.3835252627,-73.3696196065,"New_observation_inat","2021","August"
2021-08-10,"https://www.inaturalist.org/observations/90764836",46.71780675,-71.5294418333,"New_observation_inat","2021","August"
2021-08-13,"https://www.inaturalist.org/observations/91054791",45.5121307373,-73.5623474121,"New_observation_inat","2021","August"
2021-08-23,"https://www.inaturalist.org/observations/92530918",47.5064716365,-69.9592727359,"New_observation_inat","2021","August"
2021-08-27,"https://www.inaturalist.org/observations/93879776",45.5155555556,-73.5197222222,"New_observation_inat","2021","August"
2021-08-27,"https://www.inaturalist.org/observations/95954040",45.5454287624,-75.4375199582,"New_observation_inat","2021","August"
2021-09-03,"https://www.inaturalist.org/observations/93489767",45.5159785049,-73.6753963307,"New_observation_inat","2021","September"
2021-09-12,"https://www.inaturalist.org/observations/94627699",45.6927451808,-73.4969090537,"New_observation_inat","2021","September"
2021-09-15,"https://www.inaturalist.org/observations/95322014",45.5072337172,-73.5888151141,"New_observation_inat","2021","September"
2021-10-09,"https://www.inaturalist.org/observations/98061284",45.6927451808,-73.4969090537,"New_observation_inat","2021","October"
2021-10-12,"https://www.inaturalist.org/observations/98077287",45.3974916667,-73.47915,"New_observation_inat","2021","October"
2021-10-12,"https://www.inaturalist.org/observations/98971500",48.3509166667,-70.729295,"New_observation_inat","2021","October"
2021-10-12,"https://www.inaturalist.org/observations/101921582",45.5593729199,-73.5569922247,"New_observation_inat","2021","October"
2021-10-12,"https://www.inaturalist.org/observations/198310935",45.4271028771,-73.5926472323,"New_observation_inat","2021","October"
2021-11-22,"https://www.inaturalist.org/observations/101738262",45.3812102997,-73.5514172997,"New_observation_inat","2021","November"
2022-01-05,"https://www.inaturalist.org/observations/105077433",47.3948664313,-69.9486778061,"New_observation_inat","2022","January"
2022-04-25,"https://www.inaturalist.org/observations/113230634",45.5144533333,-73.67633,"New_observation_inat","2022","April"
2022-04-29,"https://www.inaturalist.org/observations/113469609",45.4579617124,-73.6405064809,"New_observation_inat","2022","April"
2022-04-29,"https://www.inaturalist.org/observations/113474682",45.4451334267,-75.922777172,"New_observation_inat","2022","April"
2022-05-01,"https://www.inaturalist.org/observations/114289299",45.5800599,-73.8699938,"New_observation_inat","2022","May"
2022-05-01,"https://www.inaturalist.org/observations/114289658",45.5801278889,-73.8688797778,"New_observation_inat","2022","May"
2022-05-14,"https://www.inaturalist.org/observations/117140255",45.8940717,-74.157934,"New_observation_inat","2022","May"
2022-05-14,"https://www.inaturalist.org/observations/117388621",47.0641515393,-70.7963782176,"New_observation_inat","2022","May"
2022-05-30,"https://www.inaturalist.org/observations/144300683",45.0295577183,-73.0677626386,"New_observation_inat","2022","May"
2022-06-01,"https://www.inaturalist.org/observations/119813619",46.7812735184,-71.278919352,"New_observation_inat","2022","June"
2022-06-06,"https://www.inaturalist.org/observations/120516034",45.6583166667,-73.7746666667,"New_observation_inat","2022","June"
2022-06-06,"https://www.inaturalist.org/observations/120658633",46.7497438765,-71.3181882846,"New_observation_inat","2022","June"
2022-06-06,"https://www.inaturalist.org/observations/120660989",46.7859652828,-71.2399044089,"New_observation_inat","2022","June"
2022-06-13,"https://www.inaturalist.org/observations/121670146",45.5111539109,-73.5893424785,"New_observation_inat","2022","June"
2022-06-14,"https://www.inaturalist.org/observations/122393651",45.5609711997,-73.5577011997,"New_observation_inat","2022","June"
2022-06-15,"https://www.inaturalist.org/observations/121947734",45.0469926741,-73.0763532028,"New_observation_inat","2022","June"
2022-06-16,"https://www.inaturalist.org/observations/124383116",46.6266033333,-71.98826,"New_observation_inat","2022","June"
2022-06-17,"https://www.inaturalist.org/observations/122230311",48.3431283333,-69.39975,"New_observation_inat","2022","June"
2022-06-19,"https://www.inaturalist.org/observations/152095269",45.5437083333,-73.6900033333,"New_observation_inat","2022","June"
2022-06-20,"https://www.inaturalist.org/observations/122685673",45.6902166667,-73.7743416667,"New_observation_inat","2022","June"
2022-06-20,"https://www.inaturalist.org/observations/124193761",45.7788183333,-72.00864,"New_observation_inat","2022","June"
2022-06-24,"https://www.inaturalist.org/observations/148600504",46.9261232052,-71.192593303,"New_observation_inat","2022","June"
